id,months_on_book,status,dpd,payment_amount
104653,26,Late,38.5,43.12
102212,3,Paid,0.0,54.35
100849,4,Paid,0.0,68.64
113847,41,Late,1.2,47.79
111364,18,Late,16.7,61.25
110860,44,Late,63.7,53.51
105078,4,Paid,0.0,35.78
109848,34,Paid,0.0,75.41
102615,57,Paid,0.0,43.61
108715,24,Paid,0.0,36.04
109725,48,Late,6.1,87.15
112886,56,Paid,0.0,72.42
101427,11,Paid,0.0,62.66
109445,20,Default,78.8,48.78
101972,9,Paid,0.0,48.4
105471,14,Paid,0.0,50.66
109327,27,Paid,0.0,63.69
103220,43,Default,234.9,28.73
111211,39,Paid,0.0,110.95
114261,45,Paid,0.0,128.97
107628,8,Paid,0.0,20.0
113916,30,Late,6.8,52.78
107328,33,Paid,0.0,62.95
113009,48,Paid,0.0,124.99
109613,17,Paid,0.0,91.72
111493,38,Paid,0.0,42.26
106476,29,Paid,0.0,30.66
114068,32,Paid,0.0,90.54
114000,6,Default,126.1,78.38
114791,27,Late,11.5,92.36
114632,55,Paid,0.0,223.58
113227,1,Paid,0.0,54.46
102158,37,Paid,0.0,93.49
107701,31,Paid,0.0,40.18
107596,18,Late,10.4,50.3
102849,49,Paid,0.0,42.12
112527,49,Paid,0.0,177.24
105040,44,Written-off,283.9,66.29
110616,23,Paid,0.0,46.49
100165,36,Paid,0.0,74.27
112176,24,Late,5.8,41.08
107810,46,Paid,0.0,47.1
103129,21,Paid,0.0,44.41
105025,10,Paid,0.0,159.53
110031,38,Paid,0.0,35.11
102112,19,Paid,0.0,20.92
113744,59,Paid,0.0,60.54
104210,47,Late,8.8,111.33
113184,45,Paid,0.0,49.38
100557,10,Paid,0.0,97.38
112541,7,Paid,0.0,60.89
111591,49,Default,121.8,62.27
104838,47,Paid,0.0,84.65
106653,41,Late,15.2,39.66
100477,31,Paid,0.0,115.05
104642,8,Paid,0.0,153.16
106924,41,Default,36.5,74.63
113098,10,Written-off,285.9,38.49
110288,57,Paid,0.0,101.5
100041,5,Late,20.8,32.37
111011,32,Late,12.4,54.5
109543,40,Paid,0.0,91.5
101454,7,Paid,0.0,49.69
107276,20,Late,12.4,61.52
101862,46,Late,16.3,45.81
100250,41,Paid,0.0,50.27
110056,26,Late,44.1,85.07
114773,26,Paid,0.0,92.09
106003,33,Paid,0.0,42.15
114885,1,Late,19.4,39.14
102434,7,Paid,0.0,194.24
108572,8,Default,39.9,97.12
114245,15,Paid,0.0,315.86
101906,56,Paid,0.0,75.95
106498,2,Paid,0.0,48.59
109892,56,Written-off,163.3,56.36
106388,56,Paid,0.0,81.94
102580,40,Paid,0.0,42.33
105356,39,Paid,0.0,72.63
107614,21,Default,198.7,40.28
112914,33,Paid,0.0,67.12
108509,27,Paid,0.0,56.49
104876,45,Paid,0.0,63.29
106327,3,Paid,0.0,56.92
111877,54,Paid,0.0,65.25
113108,56,Paid,0.0,68.61
113709,15,Paid,0.0,35.33
107930,29,Paid,0.0,55.73
106854,1,Paid,0.0,35.11
110659,28,Paid,0.0,57.52
104794,33,Default,130.3,36.66
100339,47,Paid,0.0,77.76
102824,2,Paid,0.0,41.13
105376,8,Paid,0.0,32.3
100274,23,Paid,0.0,28.38
110284,44,Paid,0.0,38.73
105377,54,Late,1.8,42.12
111749,51,Paid,0.0,20.5
102326,2,Paid,0.0,76.46
101824,15,Paid,0.0,75.94
113551,34,Default,451.5,96.48
113471,1,Paid,0.0,47.31
106980,9,Paid,0.0,98.68
114223,49,Late,14.0,283.69
103172,8,Paid,0.0,120.25
110742,30,Paid,0.0,36.48
111709,14,Paid,0.0,75.75
105717,30,Paid,0.0,39.35
111668,22,Paid,0.0,64.45
103646,31,Paid,0.0,53.86
106670,43,Paid,0.0,80.68
108393,36,Paid,0.0,130.88
113708,16,Paid,0.0,39.5
107059,9,Paid,0.0,28.69
106359,32,Written-off,117.1,47.97
102185,27,Paid,0.0,25.06
102597,45,Paid,0.0,57.89
108668,59,Paid,0.0,110.54
105054,34,Late,11.5,35.18
106521,8,Late,18.1,57.56
114484,11,Paid,0.0,72.78
100014,7,Paid,0.0,39.27
112032,37,Paid,0.0,22.31
103508,3,Late,9.4,46.48
100976,46,Paid,0.0,68.87
111755,50,Paid,0.0,56.27
111281,18,Paid,0.0,48.28
112542,6,Default,156.6,89.17
113588,2,Paid,0.0,74.87
100019,31,Paid,0.0,47.86
105652,26,Paid,0.0,33.58
111565,42,Paid,0.0,45.14
102812,22,Paid,0.0,50.16
112092,6,Paid,0.0,41.55
111232,43,Paid,0.0,93.94
106053,1,Paid,0.0,43.37
107880,52,Paid,0.0,42.98
109642,11,Paid,0.0,65.45
110239,20,Paid,0.0,87.84
107196,22,Late,40.0,98.49
103500,17,Paid,0.0,103.22
111502,28,Late,2.5,266.96
106051,21,Paid,0.0,33.16
101304,56,Paid,0.0,31.28
100784,56,Paid,0.0,166.03
105596,50,Paid,0.0,47.71
107993,41,Paid,0.0,60.8
100460,39,Paid,0.0,49.48
101278,8,Paid,0.0,127.79
106957,5,Paid,0.0,68.95
107999,7,Late,10.6,131.55
101162,28,Default,64.5,35.34
109653,53,Late,6.8,40.63
110333,5,Paid,0.0,72.92
109959,19,Late,5.2,85.32
102429,38,Paid,0.0,139.93
111918,8,Paid,0.0,146.59
110747,27,Written-off,291.6,32.67
111137,39,Paid,0.0,24.58
101968,36,Default,38.3,27.25
106271,28,Default,144.0,58.17
114417,13,Late,38.8,36.25
106806,56,Paid,0.0,92.83
109024,23,Paid,0.0,51.25
112398,45,Late,15.4,83.39
112487,18,Paid,0.0,92.18
101027,45,Paid,0.0,99.93
106797,38,Paid,0.0,34.09
102674,12,Paid,0.0,49.9
111964,2,Late,9.1,46.58
100754,21,Paid,0.0,58.84
105937,56,Paid,0.0,66.67
111043,29,Paid,0.0,32.57
103101,36,Default,191.8,150.38
106641,23,Paid,0.0,56.08
109640,26,Paid,0.0,68.14
100835,44,Paid,0.0,70.01
110370,38,Paid,0.0,34.91
103287,43,Paid,0.0,33.98
108515,40,Default,57.1,54.16
112834,5,Paid,0.0,108.25
105661,51,Paid,0.0,37.43
105285,15,Paid,0.0,124.51
100017,45,Late,1.4,43.44
112890,47,Paid,0.0,24.19
104187,18,Paid,0.0,28.62
109468,21,Late,58.3,162.71
112407,2,Paid,0.0,56.52
109748,7,Paid,0.0,31.29
103444,6,Paid,0.0,88.74
107735,57,Paid,0.0,121.27
105948,37,Paid,0.0,198.29
102261,5,Paid,0.0,48.56
111981,5,Late,0.6,112.02
104876,13,Paid,0.0,57.05
102568,21,Default,35.3,56.24
106859,23,Paid,0.0,50.53
107182,5,Paid,0.0,44.6
103211,22,Paid,0.0,79.11
112195,36,Paid,0.0,31.1
110458,14,Paid,0.0,161.73
101878,27,Late,59.8,35.71
102534,15,Paid,0.0,23.61
103846,48,Paid,0.0,43.63
113177,41,Written-off,309.4,25.12
100581,35,Paid,0.0,24.33
106423,40,Paid,0.0,50.29
100700,18,Paid,0.0,76.92
103667,51,Paid,0.0,132.03
104475,13,Paid,0.0,66.59
102026,31,Paid,0.0,152.18
106993,45,Paid,0.0,42.74
106946,2,Paid,0.0,160.04
100568,35,Paid,0.0,69.18
111552,4,Paid,0.0,38.37
111389,51,Paid,0.0,39.8
104164,1,Paid,0.0,64.05
110490,47,Paid,0.0,33.61
108490,11,Paid,0.0,125.4
113773,36,Paid,0.0,82.87
105738,58,Paid,0.0,70.17
108138,57,Late,8.2,75.26
108553,24,Paid,0.0,89.1
104346,39,Paid,0.0,27.97
103806,19,Paid,0.0,55.72
103292,39,Paid,0.0,97.31
110972,47,Paid,0.0,68.64
103680,59,Default,85.0,66.95
104650,56,Default,96.0,56.19
108743,44,Paid,0.0,32.97
108205,48,Paid,0.0,57.24
100878,50,Late,26.4,92.28
104005,54,Paid,0.0,37.32
100183,58,Paid,0.0,91.32
111515,50,Default,195.0,148.2
108061,36,Paid,0.0,47.95
114422,48,Default,61.2,73.25
108437,45,Late,2.5,55.72
109316,55,Paid,0.0,25.58
105987,18,Paid,0.0,30.29
102982,49,Paid,0.0,62.86
114366,7,Written-off,206.7,126.01
106749,8,Paid,0.0,79.45
101353,33,Paid,0.0,20.0
100342,58,Paid,0.0,65.47
114958,19,Paid,0.0,67.24
106039,37,Late,25.5,65.99
109279,5,Paid,0.0,75.81
106066,32,Paid,0.0,59.53
111412,58,Paid,0.0,37.7
100245,33,Paid,0.0,44.16
101530,35,Default,129.9,183.01
110926,56,Late,25.6,38.31
112401,49,Paid,0.0,190.1
102422,36,Paid,0.0,87.12
104540,25,Paid,0.0,49.61
113206,28,Paid,0.0,36.11
105649,4,Paid,0.0,70.0
106753,39,Paid,0.0,29.06
109141,2,Late,6.1,37.62
104326,51,Paid,0.0,229.63
108193,35,Paid,0.0,102.48
110285,36,Paid,0.0,45.94
108753,47,Default,98.1,50.2
108899,56,Paid,0.0,121.5
100123,50,Paid,0.0,121.35
107610,34,Paid,0.0,83.1
101377,23,Paid,0.0,92.71
113639,19,Late,16.4,56.32
105099,10,Late,11.8,43.41
102967,12,Paid,0.0,247.99
109068,54,Written-off,447.4,79.15
111513,43,Paid,0.0,60.35
109318,9,Paid,0.0,66.4
106589,50,Late,24.2,26.06
107696,41,Late,3.8,52.29
110205,19,Paid,0.0,42.15
102939,16,Paid,0.0,62.57
112130,51,Paid,0.0,139.62
108712,4,Default,88.2,72.7
105022,16,Paid,0.0,48.03
105315,59,Default,47.3,58.71
102982,52,Late,15.1,99.14
105184,10,Paid,0.0,45.84
110849,27,Paid,0.0,123.52
113080,25,Default,147.7,76.09
114799,40,Paid,0.0,158.14
113489,59,Paid,0.0,51.34
103928,40,Paid,0.0,63.48
114731,10,Paid,0.0,114.13
108562,10,Paid,0.0,42.14
102043,33,Paid,0.0,66.9
106898,33,Paid,0.0,102.69
108615,26,Paid,0.0,45.45
110317,27,Late,19.2,73.16
111689,38,Paid,0.0,43.2
113414,29,Paid,0.0,80.12
113112,39,Paid,0.0,105.95
110352,39,Paid,0.0,61.01
106235,6,Written-off,219.8,200.52
106304,20,Paid,0.0,57.9
113895,22,Paid,0.0,198.9
100995,36,Late,15.3,40.08
105520,43,Paid,0.0,103.11
110592,18,Paid,0.0,43.45
110415,40,Paid,0.0,36.28
110250,55,Default,130.2,75.32
114942,41,Written-off,120.3,71.38
101146,53,Paid,0.0,80.96
101777,43,Paid,0.0,49.86
108558,47,Paid,0.0,84.19
106364,47,Paid,0.0,112.56
101433,43,Paid,0.0,54.03
114224,48,Written-off,235.1,38.29
104174,57,Paid,0.0,69.96
103703,14,Paid,0.0,138.48
107940,37,Paid,0.0,52.99
100906,45,Late,6.9,55.5
105923,9,Paid,0.0,102.75
104790,40,Paid,0.0,51.53
105241,53,Paid,0.0,97.77
100698,3,Paid,0.0,43.0
110885,59,Paid,0.0,33.09
104653,38,Late,6.2,59.35
107006,58,Paid,0.0,54.47
114692,41,Late,5.8,73.61
108027,56,Paid,0.0,84.13
111747,37,Late,22.0,59.38
105676,12,Late,3.0,44.19
103358,48,Paid,0.0,130.98
100305,37,Paid,0.0,90.42
114460,44,Paid,0.0,54.23
109620,6,Paid,0.0,38.09
103024,35,Paid,0.0,168.53
106639,27,Paid,0.0,39.39
103424,39,Paid,0.0,69.86
111542,55,Paid,0.0,132.38
103009,55,Paid,0.0,57.32
113503,14,Paid,0.0,133.28
104800,57,Paid,0.0,48.27
113041,8,Paid,0.0,46.63
111870,16,Default,35.8,43.6
100519,1,Paid,0.0,38.73
109699,35,Paid,0.0,82.79
103271,57,Written-off,153.8,70.37
105314,35,Paid,0.0,63.08
113526,27,Paid,0.0,58.11
103059,22,Paid,0.0,55.93
109691,23,Paid,0.0,139.52
109330,7,Paid,0.0,30.09
100015,4,Late,7.9,31.16
105209,49,Default,85.7,140.54
100311,49,Paid,0.0,62.86
112483,19,Paid,0.0,60.85
110715,7,Late,43.7,22.49
107927,51,Paid,0.0,46.91
102990,20,Paid,0.0,31.49
112121,8,Late,25.4,49.8
100644,19,Late,6.5,81.62
102886,54,Late,14.5,214.94
100809,2,Paid,0.0,60.5
112785,29,Paid,0.0,116.18
114513,32,Paid,0.0,41.3
103762,35,Paid,0.0,34.99
106572,24,Paid,0.0,166.2
110561,28,Paid,0.0,21.71
104501,8,Paid,0.0,279.66
102370,43,Paid,0.0,53.16
104386,27,Late,4.7,108.43
108371,11,Paid,0.0,115.42
112340,11,Late,14.7,40.0
104906,2,Paid,0.0,38.44
110496,48,Late,1.2,32.11
106416,5,Paid,0.0,73.46
100133,50,Paid,0.0,47.18
106065,59,Late,17.6,39.44
103316,39,Late,24.4,49.64
103790,10,Paid,0.0,88.65
103979,57,Late,5.0,50.57
108731,6,Paid,0.0,73.03
106183,14,Late,72.9,56.21
112720,7,Paid,0.0,150.51
102991,23,Written-off,283.1,86.94
114632,53,Paid,0.0,130.22
111794,27,Paid,0.0,101.88
109281,52,Paid,0.0,68.22
106193,45,Paid,0.0,105.8
114462,30,Paid,0.0,69.22
104086,25,Paid,0.0,24.21
109720,35,Late,1.9,37.02
105377,8,Paid,0.0,45.85
101639,22,Late,6.8,34.68
105520,38,Late,3.4,151.37
109338,28,Paid,0.0,84.76
105417,19,Paid,0.0,111.12
108466,1,Paid,0.0,34.49
100262,43,Paid,0.0,395.74
103500,23,Paid,0.0,37.82
100665,37,Paid,0.0,40.4
114486,44,Paid,0.0,69.15
112018,36,Paid,0.0,65.79
106583,19,Paid,0.0,32.28
102901,42,Paid,0.0,139.92
113628,1,Paid,0.0,38.71
112165,53,Paid,0.0,73.55
101822,46,Paid,0.0,68.3
114833,23,Paid,0.0,90.92
107232,58,Paid,0.0,72.88
107284,4,Paid,0.0,60.35
114544,6,Paid,0.0,53.16
112126,18,Paid,0.0,38.77
114543,12,Late,38.7,88.52
112009,1,Paid,0.0,124.04
113873,2,Paid,0.0,59.9
113587,25,Paid,0.0,119.09
101968,46,Paid,0.0,28.11
114106,14,Late,0.5,57.25
112787,6,Late,3.8,43.08
108094,38,Paid,0.0,50.42
114175,51,Default,101.0,38.05
103758,9,Paid,0.0,38.76
103884,45,Paid,0.0,41.31
100493,18,Paid,0.0,101.25
107925,4,Default,286.3,40.61
100825,12,Paid,0.0,67.96
100810,42,Default,56.4,136.6
102245,32,Paid,0.0,36.68
107767,32,Paid,0.0,64.34
101747,24,Paid,0.0,27.89
101850,2,Paid,0.0,31.23
101166,6,Default,91.5,56.07
112224,19,Paid,0.0,65.67
113744,54,Paid,0.0,92.19
112220,53,Paid,0.0,66.53
104749,55,Late,0.5,64.05
106324,18,Late,28.4,108.45
103681,14,Paid,0.0,59.21
103538,58,Paid,0.0,48.0
107498,34,Paid,0.0,88.62
106998,29,Late,4.3,20.0
102376,1,Default,56.3,47.67
103506,30,Paid,0.0,62.28
109610,48,Default,162.1,131.18
110677,44,Paid,0.0,43.64
108974,1,Default,89.1,73.79
110110,8,Late,46.3,45.18
111733,26,Paid,0.0,101.14
109645,57,Paid,0.0,60.38
113048,2,Default,171.2,77.01
112006,29,Paid,0.0,44.0
103185,28,Paid,0.0,77.2
111796,47,Paid,0.0,200.31
104325,46,Late,4.0,79.49
101183,27,Paid,0.0,146.88
114135,7,Paid,0.0,34.09
107324,59,Late,60.2,46.59
112338,40,Late,20.7,41.79
114505,31,Paid,0.0,36.92
111958,20,Paid,0.0,97.09
111376,15,Paid,0.0,172.64
112441,19,Late,1.6,47.75
106885,54,Paid,0.0,59.65
103716,2,Paid,0.0,40.37
110102,37,Late,2.6,74.19
112028,24,Paid,0.0,175.53
114973,41,Default,84.5,62.65
103310,26,Late,13.4,39.43
104270,48,Default,145.0,96.87
111635,20,Paid,0.0,84.35
109992,25,Paid,0.0,84.77
107636,37,Paid,0.0,52.25
108033,44,Paid,0.0,67.66
109445,28,Default,105.7,41.5
100343,41,Late,14.6,36.43
101013,5,Paid,0.0,52.97
102663,6,Paid,0.0,57.29
112427,2,Paid,0.0,32.97
112649,33,Paid,0.0,73.65
102005,1,Paid,0.0,89.12
104062,45,Late,25.1,146.91
101580,36,Late,15.8,60.49
112146,30,Paid,0.0,52.06
108967,35,Paid,0.0,95.29
104737,13,Paid,0.0,86.65
104193,43,Late,34.9,96.82
113680,31,Late,14.5,85.14
108100,24,Paid,0.0,84.99
101266,6,Paid,0.0,54.47
103358,27,Paid,0.0,78.9
113492,32,Late,64.9,58.94
103915,9,Default,435.0,37.56
107720,43,Paid,0.0,27.49
113346,53,Paid,0.0,72.07
104284,49,Late,7.2,82.45
112600,48,Paid,0.0,111.31
100183,11,Late,1.5,79.74
110340,4,Paid,0.0,27.84
110340,5,Paid,0.0,47.42
112040,56,Paid,0.0,183.09
108187,52,Paid,0.0,74.66
103518,3,Paid,0.0,55.15
107873,53,Paid,0.0,40.42
110761,52,Paid,0.0,157.82
107789,31,Paid,0.0,54.97
111940,46,Paid,0.0,70.95
110762,11,Default,113.5,109.41
100138,42,Paid,0.0,113.95
108828,16,Paid,0.0,77.26
113228,2,Paid,0.0,90.53
103742,35,Paid,0.0,61.91
105788,6,Paid,0.0,60.49
105343,44,Paid,0.0,55.89
102753,15,Paid,0.0,65.36
108423,6,Paid,0.0,79.34
113992,42,Paid,0.0,106.07
102878,35,Paid,0.0,32.76
114488,10,Default,37.3,186.95
106873,34,Default,57.0,59.04
102183,13,Late,4.4,85.09
110236,7,Paid,0.0,125.95
108552,43,Default,101.8,102.03
108991,52,Late,11.1,25.42
107560,50,Paid,0.0,84.2
111355,30,Paid,0.0,87.57
110672,49,Paid,0.0,52.65
114917,26,Paid,0.0,41.19
107116,36,Default,30.0,65.73
109547,21,Paid,0.0,48.71
100434,54,Default,41.4,46.06
113100,16,Paid,0.0,377.72
105250,28,Paid,0.0,222.07
114571,6,Paid,0.0,71.12
104120,28,Default,37.2,54.59
110140,39,Paid,0.0,32.71
100687,49,Paid,0.0,48.26
108118,12,Paid,0.0,53.33
112829,12,Paid,0.0,65.24
103041,24,Paid,0.0,87.66
113006,23,Paid,0.0,30.71
113849,57,Paid,0.0,56.91
106363,42,Late,4.6,137.39
107086,48,Paid,0.0,53.71
101023,14,Paid,0.0,51.88
101829,16,Paid,0.0,46.61
110759,9,Late,48.0,157.59
106033,11,Paid,0.0,63.68
112696,36,Paid,0.0,40.9
107581,22,Default,100.2,45.17
104299,20,Paid,0.0,45.77
109699,15,Paid,0.0,104.96
104534,18,Late,49.7,73.91
107697,33,Paid,0.0,103.2
101819,59,Paid,0.0,49.45
109472,27,Paid,0.0,71.45
106514,2,Paid,0.0,48.56
113744,3,Paid,0.0,54.49
101043,10,Late,105.7,45.51
112597,10,Paid,0.0,61.57
110985,33,Paid,0.0,57.0
112120,1,Late,0.1,34.02
104520,32,Paid,0.0,45.48
106038,26,Paid,0.0,78.18
107005,57,Paid,0.0,61.88
108550,39,Paid,0.0,30.46
106348,13,Written-off,117.9,45.17
112227,18,Paid,0.0,40.27
110074,15,Paid,0.0,87.31
103697,57,Paid,0.0,73.89
100947,50,Paid,0.0,40.19
101748,47,Paid,0.0,67.52
103801,14,Paid,0.0,30.4
114573,56,Late,32.2,30.59
111214,26,Paid,0.0,214.85
109580,2,Late,0.4,110.33
112211,8,Paid,0.0,111.92
101636,20,Paid,0.0,48.84
108351,8,Late,20.5,47.2
105582,23,Paid,0.0,54.22
106370,40,Default,43.1,48.36
107328,3,Paid,0.0,40.3
102478,56,Paid,0.0,75.98
100554,20,Paid,0.0,56.24
108341,8,Late,20.5,53.63
102570,12,Written-off,249.9,46.62
102223,19,Late,5.4,95.18
108950,32,Late,24.0,48.42
105965,55,Paid,0.0,87.41
108908,31,Paid,0.0,42.44
113007,45,Paid,0.0,57.09
104106,46,Paid,0.0,34.37
112300,17,Paid,0.0,38.5
103049,38,Paid,0.0,63.21
107826,33,Paid,0.0,42.48
103763,57,Late,0.6,33.76
103077,17,Default,98.6,46.77
113125,53,Written-off,202.0,62.52
110609,51,Paid,0.0,38.67
110322,30,Paid,0.0,47.35
113934,23,Paid,0.0,168.1
112869,24,Paid,0.0,34.67
105502,39,Paid,0.0,53.17
113138,42,Paid,0.0,75.5
108208,17,Paid,0.0,61.1
107345,7,Written-off,291.4,22.05
100009,13,Default,112.4,38.47
113027,11,Paid,0.0,74.38
111842,34,Paid,0.0,229.02
108659,27,Paid,0.0,32.26
108128,59,Paid,0.0,37.57
111395,48,Late,4.7,92.93
105224,37,Paid,0.0,47.76
107503,47,Late,11.7,75.45
112858,58,Paid,0.0,148.55
105372,35,Paid,0.0,40.31
113525,49,Paid,0.0,52.71
102877,13,Paid,0.0,55.78
110287,4,Late,2.3,107.47
104558,46,Paid,0.0,96.58
114784,57,Paid,0.0,60.51
105955,15,Paid,0.0,40.44
102447,40,Paid,0.0,71.13
103898,36,Default,94.9,20.0
114884,53,Paid,0.0,85.69
114142,34,Paid,0.0,51.11
109903,42,Paid,0.0,42.15
109535,21,Paid,0.0,54.97
101100,53,Late,18.3,152.81
105067,39,Paid,0.0,292.26
112142,26,Paid,0.0,59.74
112413,46,Paid,0.0,130.66
104867,22,Paid,0.0,42.82
107504,27,Paid,0.0,42.47
110631,29,Default,51.2,56.93
111646,44,Paid,0.0,58.19
105721,50,Paid,0.0,230.53
104612,36,Late,17.5,50.5
101828,10,Paid,0.0,59.72
107502,55,Late,18.7,73.58
108816,37,Paid,0.0,70.43
114196,13,Paid,0.0,89.14
100262,8,Paid,0.0,245.75
113832,44,Paid,0.0,32.89
101406,41,Paid,0.0,50.19
113244,18,Paid,0.0,57.06
110541,39,Paid,0.0,82.87
111099,37,Paid,0.0,42.99
108533,19,Paid,0.0,345.75
113137,29,Paid,0.0,50.01
104420,18,Late,2.6,87.34
106258,32,Paid,0.0,34.21
105680,23,Paid,0.0,37.31
102321,31,Paid,0.0,73.82
106801,20,Written-off,564.9,92.34
109560,56,Paid,0.0,30.4
108739,54,Default,33.1,83.15
114106,27,Paid,0.0,70.84
102562,8,Paid,0.0,41.39
111954,18,Paid,0.0,112.2
100757,14,Paid,0.0,45.74
100946,2,Paid,0.0,87.12
105918,53,Late,12.7,86.45
107259,16,Paid,0.0,20.0
100307,27,Default,54.6,46.65
104797,3,Paid,0.0,26.06
102604,50,Paid,0.0,35.74
104306,18,Paid,0.0,52.32
106166,55,Paid,0.0,108.85
101312,35,Paid,0.0,116.79
107672,12,Paid,0.0,38.04
103319,20,Paid,0.0,60.25
105042,43,Paid,0.0,49.42
102832,2,Default,42.7,109.15
109084,31,Paid,0.0,62.3
111865,11,Default,172.7,42.97
107266,58,Late,6.6,49.64
110131,8,Paid,0.0,78.01
111560,49,Paid,0.0,56.85
110184,25,Late,1.5,40.48
109239,33,Written-off,730.3,122.09
105624,59,Paid,0.0,40.45
110824,34,Paid,0.0,46.73
114863,31,Paid,0.0,47.22
110073,54,Paid,0.0,100.18
106711,34,Paid,0.0,124.29
107232,50,Paid,0.0,30.15
107841,8,Paid,0.0,47.63
107097,39,Paid,0.0,79.79
104184,8,Paid,0.0,72.16
105649,20,Paid,0.0,140.9
109867,18,Paid,0.0,103.99
111211,59,Paid,0.0,84.63
109384,14,Paid,0.0,54.83
104664,52,Late,18.2,46.65
100639,50,Late,5.2,87.2
114234,48,Written-off,135.5,108.89
114244,54,Paid,0.0,74.43
111718,17,Paid,0.0,104.66
107969,5,Paid,0.0,65.79
111386,20,Paid,0.0,104.85
102850,30,Paid,0.0,119.21
100591,35,Paid,0.0,46.67
101969,51,Paid,0.0,109.0
112108,48,Paid,0.0,46.79
100006,47,Paid,0.0,39.2
108442,4,Paid,0.0,56.58
113650,26,Paid,0.0,64.33
101054,41,Paid,0.0,64.29
101335,27,Paid,0.0,33.61
