id,bureau_score,num_of_accounts,num_of_open_accounts,total_debt,delinquent_accounts
105630,788.0,6,2,7631.23,0
114496,574.0,4,4,19838.08,0
113703,559.0,1,0,57659.47,0
112108,628.0,6,3,34113.6,0
114970,613.0,4,1,29074.04,0
114692,526.0,4,2,27242.79,0
100089,623.0,4,3,0.0,0
109061,531.0,5,2,38172.74,2
110076,807.0,5,0,7247.23,0
113660,500.0,5,2,3448.73,1
101441,682.0,6,4,19333.42,0
102134,753.0,7,3,13705.8,0
107602,488.0,1,1,35555.49,1
104052,680.0,5,1,51730.65,1
105073,631.0,6,3,44028.6,1
110805,588.0,4,2,38759.88,0
113567,586.0,5,5,8040.19,0
114220,608.0,7,6,23212.24,0
108049,549.0,5,5,69416.34,2
114582,635.0,4,2,27451.63,0
113645,478.0,2,2,24178.51,1
111149,315.0,0,0,31833.19,0
111337,729.0,5,2,2744.89,0
103777,459.0,1,0,7537.96,1
105903,842.0,10,3,4315.44,0
106279,555.0,3,2,74300.65,0
103119,524.0,2,1,80628.0,1
100356,632.0,5,3,5969.71,0
105807,752.0,4,1,12378.19,0
111474,496.0,5,2,24877.0,0
114838,467.0,1,1,9425.86,1
111901,771.0,6,2,13469.98,0
114250,510.0,1,1,67152.31,0
100579,690.0,6,4,15432.18,0
100806,613.0,2,1,33834.31,1
100615,724.0,8,2,31131.7,0
104616,755.0,11,2,144112.14,0
107152,629.0,5,1,10031.63,0
108912,754.0,8,5,36172.05,0
101722,579.0,5,3,28746.95,0
110699,741.0,5,2,9355.63,0
100527,624.0,3,3,35249.75,0
100195,544.0,1,0,9871.76,0
112179,626.0,3,2,14719.69,1
105732,451.0,2,1,109287.84,1
105089,501.0,4,3,49092.36,1
100376,653.0,4,2,13865.9,1
114842,551.0,3,2,62606.0,0
107880,700.0,2,1,2124.36,0
112761,730.0,9,3,24765.17,0
103721,429.0,2,1,28999.08,2
107368,736.0,4,2,12035.1,0
113221,667.0,2,1,27983.95,0
104931,721.0,6,4,15733.5,0
114444,609.0,6,3,12322.78,0
108580,634.0,8,5,20483.44,0
111330,600.0,6,5,44921.68,0
100224,466.0,1,1,16290.44,1
113834,470.0,1,1,76877.79,1
112745,561.0,4,3,21356.89,0
112285,544.0,1,0,21882.82,0
103120,650.0,2,1,38006.12,0
109587,426.0,1,1,10966.28,0
100739,751.0,6,0,0.0,0
105719,498.0,3,1,26427.94,0
108611,634.0,5,1,30122.5,0
100697,690.0,3,2,16443.77,0
104759,670.0,5,2,1788.94,0
111153,770.0,6,3,0.0,0
111842,728.0,6,2,7093.88,0
106053,684.0,7,2,20175.79,0
104025,740.0,6,2,9051.85,0
112876,587.0,5,4,5450.28,1
104325,557.0,1,0,2469.04,1
109877,599.0,5,2,3411.1,0
103148,663.0,4,3,9824.08,0
106918,627.0,4,2,10726.51,0
104711,586.0,7,5,41154.68,0
102846,604.0,4,2,17404.88,0
110050,487.0,4,2,17005.02,3
103465,489.0,1,1,11649.81,1
112617,635.0,5,1,38071.78,0
105761,518.0,1,0,36425.35,0
102950,491.0,1,1,31926.08,0
114167,632.0,3,1,12165.31,0
110562,505.0,3,2,15950.51,2
102724,566.0,5,1,12028.26,1
101820,528.0,2,2,19711.78,0
112222,397.0,2,1,11082.47,2
114983,592.0,4,2,6168.36,1
100227,641.0,7,1,6433.93,0
111979,528.0,5,3,51325.36,1
112229,,0,0,35599.91,0
103541,637.0,4,1,13510.72,0
114507,478.0,4,3,6120.88,1
102907,806.0,5,2,0.0,0
112715,758.0,6,5,24221.76,0
112534,790.0,2,1,22458.1,0
104790,532.0,3,2,23744.92,1
104050,458.0,3,2,5126.05,1
109055,724.0,3,2,3266.09,0
103035,667.0,4,1,20144.48,0
103442,648.0,3,2,31439.2,0
111938,678.0,3,2,12116.46,0
106871,593.0,6,1,11578.67,0
100499,547.0,1,0,26395.79,1
107640,475.0,1,0,65706.22,0
111672,591.0,4,3,11455.58,0
105077,616.0,5,4,28255.52,0
103159,592.0,3,3,76642.97,0
107971,562.0,5,3,10658.06,1
111925,522.0,6,5,28630.17,0
104332,806.0,5,4,6204.59,1
113126,567.0,3,1,26762.5,1
114086,696.0,8,1,67681.16,0
114351,636.0,2,0,17602.78,0
113189,592.0,7,3,29016.72,0
110789,848.0,8,2,1345.19,0
103335,611.0,4,1,35960.9,1
100242,714.0,5,1,7845.64,0
108397,531.0,3,3,12143.32,0
114774,603.0,3,1,12467.93,1
100109,,0,0,22970.23,0
104128,705.0,10,4,14635.95,0
101135,648.0,5,3,22306.64,0
109796,682.0,3,0,13068.79,0
103656,569.0,7,4,14299.02,1
111694,691.0,3,1,2778.49,0
102900,550.0,3,1,133566.91,0
108799,499.0,2,2,5628.13,1
102881,502.0,3,1,8613.29,0
104364,680.0,4,2,48425.17,0
108454,703.0,5,3,4596.0,0
110044,647.0,7,5,0.0,0
107494,628.0,4,2,52076.41,0
110993,703.0,6,4,11007.41,0
100638,645.0,7,4,15290.66,0
100043,632.0,3,2,16578.94,0
108705,615.0,6,3,22294.84,0
110472,519.0,4,3,41365.26,0
102703,684.0,7,1,5305.02,0
113846,615.0,2,1,17414.73,0
102409,521.0,5,5,27844.12,0
104477,672.0,10,4,7712.71,0
108488,691.0,6,2,7191.22,0
112766,717.0,3,0,20015.39,0
103483,610.0,6,1,32438.6,1
105607,648.0,9,5,2116.85,0
114729,528.0,4,4,43928.68,1
103736,703.0,4,1,24330.25,0
109106,570.0,6,1,46063.19,0
111235,393.0,1,1,54750.52,1
112365,649.0,5,3,59257.69,0
100933,521.0,6,1,47903.31,0
102235,720.0,7,1,13207.33,0
107588,802.0,6,3,6975.64,0
110658,735.0,11,5,12319.43,0
101683,656.0,2,1,4090.17,0
110682,716.0,4,1,8346.56,0
110538,653.0,2,0,37540.58,0
105520,519.0,0,0,33590.2,0
100565,686.0,4,3,15540.44,0
103067,530.0,4,1,25222.59,1
108043,633.0,6,3,8511.04,0
101334,645.0,2,1,25617.9,0
104408,595.0,4,3,52375.33,0
105813,513.0,1,1,22960.22,1
110875,584.0,3,2,19935.1,0
112370,669.0,5,4,6821.49,0
112834,632.0,4,4,10136.99,0
114363,788.0,10,4,27154.4,0
104664,521.0,1,0,47498.92,0
106158,631.0,6,2,19016.15,0
102534,799.0,9,6,7233.62,0
110619,593.0,2,1,11940.22,0
108720,676.0,6,0,13612.49,0
114712,459.0,3,0,69859.19,1
108238,641.0,5,5,4309.38,0
107783,585.0,6,3,62779.61,0
107138,667.0,3,3,0.0,0
105065,487.0,4,3,24646.37,2
113868,549.0,3,2,49169.58,1
109147,661.0,5,3,12341.55,0
110069,735.0,5,2,6521.1,0
103859,699.0,10,3,26063.94,0
106742,672.0,10,8,21426.67,0
100266,524.0,6,5,17853.8,2
110904,663.0,6,0,23983.08,0
114962,662.0,5,2,34471.31,0
106208,479.0,0,0,27915.37,0
110773,564.0,8,3,34957.76,0
113933,591.0,8,3,21890.93,0
113315,570.0,4,1,22149.67,0
105834,634.0,4,2,14175.19,0
110400,631.0,3,1,68052.89,0
102523,459.0,2,2,6181.25,1
108253,520.0,3,1,46885.6,0
111993,592.0,4,3,82332.76,0
112205,580.0,5,2,6429.01,1
103749,491.0,2,1,67999.78,1
102041,478.0,1,0,42654.02,1
101065,530.0,1,1,0.0,1
107713,625.0,4,2,11516.49,0
113229,523.0,3,3,21117.36,0
102315,593.0,6,1,15581.42,0
109509,586.0,1,0,26862.93,0
102225,635.0,6,2,41327.55,0
108552,525.0,2,0,20436.89,0
101261,604.0,4,1,26139.39,0
114676,616.0,5,1,15231.1,0
113549,688.0,4,3,34320.87,0
100875,561.0,4,3,4789.3,2
104150,674.0,5,4,12223.86,0
108941,638.0,3,2,32120.65,0
111181,642.0,5,1,25609.8,0
102571,496.0,1,0,58804.41,0
106546,552.0,5,4,46865.01,0
114110,691.0,7,1,15123.37,0
104559,625.0,1,1,6138.16,0
101222,694.0,2,1,26908.09,0
105109,606.0,5,3,26347.51,0
104496,686.0,7,1,265.19,0
113104,637.0,7,4,23577.54,0
102283,447.0,3,1,26195.21,1
105029,620.0,4,0,15962.75,1
105949,522.0,6,2,7969.35,1
106272,521.0,4,3,55832.06,0
110753,548.0,4,3,21466.74,0
108901,548.0,6,5,20749.91,1
100395,581.0,3,2,7711.47,0
101291,705.0,2,1,7101.37,0
103879,726.0,5,2,8048.42,0
110493,645.0,3,1,27358.48,0
110575,449.0,5,2,16961.98,3
105148,,0,0,34221.56,0
114609,501.0,1,0,40355.03,1
110361,746.0,4,3,8637.99,1
109596,544.0,3,1,19276.29,0
102645,538.0,1,1,33750.67,1
114865,526.0,4,3,36575.49,1
110528,521.0,5,2,23003.44,0
100082,622.0,5,2,21969.66,0
105611,551.0,0,0,31798.29,0
100085,533.0,6,2,20445.43,0
100467,529.0,3,1,21618.2,1
107375,600.0,4,2,13010.19,0
109491,627.0,5,3,2872.61,0
104334,466.0,0,0,9560.25,0
109033,556.0,8,4,12824.73,0
109199,593.0,1,0,23599.35,0
111443,493.0,2,0,49898.55,1
108239,493.0,2,1,12335.91,0
100325,601.0,2,2,8806.82,0
113122,600.0,1,1,45080.67,1
113466,703.0,2,1,20536.99,0
108305,747.0,5,4,36239.94,0
108279,631.0,2,1,28093.64,0
105631,489.0,3,1,26006.19,0
110918,707.0,5,0,1865.62,0
109956,642.0,5,4,11005.7,0
102313,517.0,2,1,14177.72,1
105904,628.0,9,6,11234.65,0
103650,651.0,6,5,3826.08,0
102344,529.0,2,1,56737.18,1
114034,593.0,1,1,14604.42,0
109835,704.0,3,2,17366.36,0
107650,754.0,11,7,821.22,0
102618,572.0,4,3,36118.83,3
100829,503.0,2,2,7837.92,0
114419,602.0,2,1,19164.26,0
104489,637.0,5,3,9832.18,0
105307,609.0,4,3,29565.96,0
108776,615.0,3,1,35800.84,1
107967,653.0,6,4,37991.2,0
105048,612.0,3,3,38401.15,0
114662,634.0,4,3,11801.05,0
107917,657.0,5,2,25084.25,0
109555,678.0,5,1,44003.61,0
103295,578.0,2,1,3991.88,0
105681,407.0,0,0,74519.94,0
113027,659.0,7,4,16600.48,0
105355,494.0,5,3,90209.78,2
111285,606.0,4,2,4101.04,0
110353,595.0,7,5,9335.43,0
109996,440.0,3,2,27229.15,0
112677,618.0,2,1,28864.12,0
106810,510.0,2,1,51055.61,1
114664,535.0,3,1,53563.82,0
114466,536.0,2,1,27138.27,0
103357,593.0,4,2,20341.68,0
111541,597.0,2,1,92608.6,1
107900,638.0,4,2,27019.46,0
100421,524.0,1,1,10031.39,1
106845,665.0,6,2,0.0,0
103392,730.0,7,4,2379.12,0
111254,565.0,4,3,11662.16,1
109107,582.0,7,4,39015.92,0
101305,,0,0,34126.04,0
114083,413.0,1,0,55932.98,1
112944,600.0,9,6,6155.76,0
110644,645.0,6,0,14342.43,0
100862,578.0,3,1,16289.25,0
108597,753.0,2,1,6924.41,0
112375,607.0,5,3,19587.15,0
103924,554.0,5,3,23941.86,0
107315,669.0,10,4,14842.75,0
102718,623.0,6,2,7628.8,0
100726,693.0,8,2,22883.06,0
109772,591.0,5,3,85082.06,0
114482,510.0,1,0,20784.89,0
104566,621.0,4,3,49180.35,0
108514,490.0,3,1,12080.84,3
106239,642.0,3,1,57321.53,0
106834,495.0,2,2,12769.51,1
110130,669.0,6,5,19276.85,0
110259,655.0,7,2,37727.3,0
107831,668.0,6,5,63459.64,0
107798,746.0,7,3,0.0,0
105787,692.0,10,2,16484.26,0
109229,591.0,3,2,27071.71,0
110777,585.0,4,2,14904.79,0
101163,598.0,3,2,0.0,0
111201,686.0,7,3,11310.89,0
104073,473.0,1,1,29424.83,1
101042,,0,0,25369.67,0
109187,602.0,3,1,25200.56,0
114988,570.0,2,0,20265.33,0
102251,645.0,4,3,17665.19,0
106531,690.0,4,1,11583.51,0
108949,758.0,10,3,33188.94,0
101387,473.0,1,0,40069.57,1
109629,510.0,6,4,23903.43,1
102508,750.0,5,4,23279.24,0
110727,493.0,3,2,10729.04,1
110121,599.0,5,3,37042.68,0
108701,645.0,2,1,4889.82,0
103158,583.0,4,1,19709.87,0
113074,744.0,6,2,655.52,0
109922,540.0,3,2,15799.22,1
101767,636.0,5,1,9957.25,0
108748,497.0,3,1,18446.36,1
108208,657.0,3,0,4144.79,0
110122,683.0,11,2,4837.34,0
111179,456.0,2,1,25634.96,1
103748,446.0,1,1,44524.46,1
100448,552.0,1,1,21034.86,1
106733,625.0,4,2,10414.23,0
114004,615.0,0,0,17130.39,0
107768,502.0,2,2,11139.88,2
110662,678.0,4,3,6202.44,0
113531,702.0,6,2,3882.31,0
103883,490.0,2,1,5365.02,0
106615,762.0,6,1,11390.19,0
107666,697.0,5,4,14144.21,0
110147,622.0,2,2,65581.81,0
110915,808.0,12,1,11358.01,0
101811,492.0,3,2,46377.14,0
111267,561.0,3,3,7501.66,0
106741,643.0,2,1,45728.4,0
106786,573.0,1,1,13735.45,0
104116,685.0,9,7,26291.42,0
110061,575.0,2,1,12530.39,1
107055,571.0,7,1,27376.79,0
106841,606.0,2,1,18761.62,2
101280,522.0,2,1,56750.03,1
102869,625.0,4,2,12027.3,0
110016,615.0,6,3,22178.59,1
102741,545.0,3,2,8915.0,0
105908,537.0,2,2,18409.74,1
114701,604.0,3,1,12825.85,0
104075,716.0,1,0,13337.34,0
104734,597.0,4,1,28112.45,1
100360,797.0,4,1,3374.92,0
109154,525.0,2,1,33256.7,0
103933,673.0,3,1,21283.76,0
102394,621.0,4,2,5833.13,0
102789,564.0,4,2,55339.48,0
112523,730.0,4,2,0.0,0
100212,650.0,1,0,2790.39,0
101053,630.0,6,1,18188.76,0
111457,699.0,4,2,25459.99,0
109861,648.0,3,1,18969.86,0
107841,641.0,5,2,9361.34,0
101994,649.0,6,1,4804.25,0
112112,457.0,3,2,67851.05,2
112449,739.0,1,1,1146.23,0
100895,602.0,6,4,15186.87,0
100993,643.0,9,6,4433.38,0
108386,696.0,1,0,8168.31,0
101957,599.0,5,2,30313.09,0
104965,705.0,3,0,15564.11,0
108079,579.0,4,3,2997.83,1
112450,419.0,1,1,18837.03,1
101158,398.0,1,1,19820.59,1
109307,804.0,1,1,6895.14,0
111932,605.0,4,1,0.0,0
112702,651.0,8,4,5332.02,0
111129,639.0,5,2,34836.84,0
102167,657.0,3,2,28310.45,0
113673,626.0,3,2,24865.87,0
101012,541.0,5,2,45168.95,1
106589,677.0,5,2,54321.73,0
100888,444.0,2,2,11229.99,1
100486,638.0,2,2,22217.81,0
106197,524.0,4,4,34501.37,1
107504,580.0,6,5,53031.08,0
101364,593.0,4,2,5391.1,0
103298,702.0,8,1,24971.31,0
102511,762.0,11,1,453.86,0
107084,570.0,6,4,6491.33,1
110631,,0,0,20038.75,0
114932,695.0,4,2,0.0,0
112808,617.0,3,2,27036.34,1
106541,645.0,3,1,49262.42,0
109472,631.0,5,2,22579.52,0
107509,636.0,5,2,22317.04,0
114111,559.0,1,0,5380.35,0
106447,659.0,6,2,15386.65,0
108129,523.0,6,3,28231.89,2
104863,504.0,2,2,129959.44,0
110379,594.0,2,1,22497.82,0
102064,721.0,10,1,1934.75,0
112438,578.0,1,0,17538.73,0
108592,543.0,4,3,57293.36,0
112169,462.0,4,3,31990.88,1
107681,651.0,4,3,23103.25,0
111594,440.0,4,2,23180.34,2
110129,538.0,3,0,18407.54,0
112316,481.0,2,1,28450.07,0
108987,597.0,3,1,66509.02,0
109564,574.0,3,2,5219.04,0
100966,698.0,2,2,15774.02,0
108678,630.0,5,2,14140.66,0
101731,543.0,2,1,22646.72,1
104394,611.0,3,2,32777.62,0
100709,478.0,1,1,45181.08,1
100508,538.0,2,1,102385.09,2
105558,682.0,8,5,15947.86,0
103691,475.0,5,2,29851.41,0
105409,547.0,1,1,21214.45,0
104218,558.0,3,1,21216.86,0
113609,595.0,7,5,39837.09,0
107678,576.0,5,3,21051.37,1
108558,652.0,3,2,17963.36,0
108777,647.0,6,2,9161.56,0
113970,688.0,8,2,7101.33,0
107853,702.0,9,6,15503.83,0
103527,556.0,1,0,25145.21,1
106203,565.0,5,2,69244.33,0
104656,428.0,1,0,51153.8,0
110264,805.0,3,0,8142.68,0
103239,569.0,2,1,0.0,1
109437,578.0,5,2,31513.58,0
112353,652.0,3,1,15717.74,0
109563,594.0,0,0,30943.43,0
110785,770.0,6,4,6164.77,0
108627,622.0,2,1,25744.78,0
112604,487.0,3,1,43992.03,1
101868,479.0,5,3,37292.56,0
111895,610.0,5,3,13663.92,0
101857,634.0,2,1,15012.01,0
108457,605.0,2,1,52987.42,2
102249,506.0,11,6,41663.65,0
107738,531.0,3,2,24918.71,2
111559,625.0,4,1,6384.22,1
105622,,0,0,47159.51,0
102733,606.0,1,1,35373.78,0
111937,608.0,5,2,3577.17,0
113306,737.0,3,1,17006.09,0
104423,651.0,3,2,14825.92,0
108243,516.0,1,1,27218.96,0
108141,500.0,3,2,80409.82,1
101162,514.0,0,0,61717.54,0
112610,594.0,6,2,41140.19,1
104269,484.0,3,3,39067.9,2
111071,720.0,2,1,28540.18,0
108255,493.0,3,1,39678.17,1
101132,520.0,5,4,23139.42,1
110091,595.0,2,0,29927.56,0
110690,586.0,6,4,13451.94,0
113515,491.0,1,1,22583.4,1
100854,715.0,6,3,13391.04,0
101739,764.0,9,2,1400.62,0
111558,548.0,1,0,5804.79,0
111260,429.0,2,1,32077.58,2
104518,376.0,0,0,23767.77,0
109290,566.0,1,0,16265.33,0
114944,612.0,2,0,12896.85,0
113123,583.0,5,2,20132.07,0
111297,515.0,1,1,30856.96,1
110451,624.0,2,1,4048.64,0
102325,623.0,5,2,22641.23,1
104481,619.0,10,7,19628.11,0
102466,431.0,1,0,43278.02,1
106668,591.0,6,1,31015.73,1
100062,723.0,7,3,11850.08,0
103773,545.0,3,0,28648.11,0
111288,612.0,2,2,5341.15,0
111822,702.0,1,0,872.2,0
105835,677.0,6,3,8468.36,0
113691,763.0,11,5,36324.53,0
110065,496.0,2,1,32491.1,1
114761,743.0,4,3,22120.8,0
103337,732.0,11,8,6497.01,0
105488,640.0,5,3,19598.0,0
114823,588.0,3,1,10597.2,0
109081,613.0,2,1,8294.95,0
114896,420.0,0,0,39483.99,0
106151,642.0,3,0,11802.76,0
107989,566.0,5,2,14793.99,0
113323,407.0,3,2,18773.75,1
104079,515.0,4,3,21930.78,0
102302,529.0,2,1,59766.61,0
104137,684.0,7,1,4760.52,0
101263,582.0,5,4,28018.54,0
103799,605.0,5,1,40791.32,0
107948,764.0,8,5,0.0,0
106316,654.0,9,5,28675.24,0
111995,654.0,3,1,17791.74,0
102462,,0,0,46776.41,0
105858,680.0,1,0,19913.28,1
111601,598.0,2,1,28221.99,0
104866,458.0,2,2,33905.92,1
114591,566.0,4,2,32877.6,1
106034,584.0,6,3,116110.34,0
109348,653.0,5,1,15056.42,0
104660,719.0,4,2,154.65,0
102374,603.0,6,4,25908.77,0
111971,520.0,3,1,45395.09,0
105362,546.0,2,1,53394.42,1
100197,538.0,1,0,21815.76,0
109492,559.0,3,2,59968.31,0
111375,666.0,3,1,15687.26,0
114386,523.0,4,2,70255.44,0
113764,582.0,6,1,17984.9,0
111990,643.0,4,3,19208.08,1
107887,553.0,5,3,27705.72,0
103212,440.0,1,1,18980.62,0
107264,571.0,3,2,3679.26,0
111411,538.0,2,1,10778.46,1
