id,age,gender,education,employment_type,annual_income,loan_amount,loan_term,purpose,home_ownership,dependents
113924,43,Female,Bachelors,Salaried,112308.47,83065.1,24,Other,Own,0.0
107884,65,Other,Bachelors,Salaried,31890.16,15876.72,72,Auto,Own,4.0
104547,48,Female,Bachelors,Salaried,38070.13,2327.55,60,Debt Consolidation,Rent,4.0
111813,43,Female,Masters,Business Owner,60526.56,34270.13,60,Debt Consolidation,Rent,2.0
104429,72,Male,High School,Salaried,47038.74,22333.32,24,Other,Rent,4.0
103925,36,Female,High School,Salaried,61658.13,30426.21,12,Business,Rent,1.0
112269,64,Male,Masters,Salaried,128020.47,47490.07,72,Debt Consolidation,Rent,3.0
100856,64,Female,High School,Salaried,67098.18,22178.33,60,Auto,Other,2.0
105879,35,Female,Bachelors,Contract,60579.91,7217.49,60,Debt Consolidation,Mortgage,0.0
105722,48,Male,High School,Contract,43100.15,18258.9,36,Vacation,Rent,4.0
102695,38,Female,Masters,Contract,67159.4,46642.99,72,Auto,Other,1.0
108308,41,Female,Masters,Self-Employed,92408.77,43122.11,48,Education,Rent,2.0
105562,75,Female,High School,Unemployed,9197.63,665.22,48,Education,Rent,3.0
109068,68,Male,Masters,Self-Employed,155184.71,67470.24,60,Auto,Rent,3.0
112399,49,Female,Masters,Business Owner,189427.49,77202.96,36,Education,Rent,3.0
104646,55,Male,High School,Salaried,23104.43,4515.81,12,Debt Consolidation,Mortgage,2.0
102579,75,Male,Bachelors,Business Owner,87823.05,8087.34,72,Debt Consolidation,Own,3.0
102334,65,Female,Masters,Business Owner,148882.62,75594.8,12,Auto,Mortgage,2.0
112793,50,Male,Bachelors,Salaried,51623.51,21481.89,24,Business,Other,3.0
108698,75,Male,Bachelors,Contract,56415.84,15079.67,24,Debt Consolidation,Mortgage,3.0
106391,44,Male,High School,Salaried,49420.43,16015.45,24,Wedding,Mortgage,3.0
100128,59,Male,High School,Self-Employed,49789.93,23288.71,12,Debt Consolidation,Rent,4.0
103331,62,Male,High School,Salaried,59069.44,36800.76,60,Medical,Rent,1.0
100551,61,Female,Bachelors,Salaried,41063.55,12245.14,24,Debt Consolidation,Rent,1.0
103252,70,Female,Bachelors,Contract,85894.86,37693.32,36,Debt Consolidation,Rent,2.0
109583,56,Male,High School,Salaried,49809.18,30477.43,48,Home Improvement,Rent,2.0
103600,59,Male,Doctorate,Self-Employed,53652.9,13683.04,36,Medical,Own,3.0
106946,36,Female,Bachelors,Salaried,119505.22,6634.16,72,Business,Rent,0.0
111767,60,Male,Bachelors,Business Owner,138325.65,20788.28,36,Medical,Mortgage,3.0
107768,63,Male,High School,Salaried,37265.46,11379.45,36,Debt Consolidation,Mortgage,0.0
102473,64,Male,High School,Salaried,35094.66,7131.45,36,Auto,Own,0.0
105421,49,Female,High School,Contract,19651.67,1951.6,72,Medical,Mortgage,3.0
105915,75,Male,Doctorate,Contract,97812.67,54738.23,60,Debt Consolidation,Own,5.0
106151,61,Female,Bachelors,Salaried,47966.21,12067.95,24,Home Improvement,Rent,0.0
102221,35,Male,High School,Salaried,37403.48,7173.55,12,Business,Own,1.0
100573,56,Male,Bachelors,Business Owner,49506.92,8626.62,84,Home Improvement,Mortgage,2.0
112104,36,Female,Doctorate,Self-Employed,61025.12,21078.56,48,Debt Consolidation,Own,2.0
109288,38,Male,Bachelors,Salaried,49139.3,15235.94,72,Auto,Rent,0.0
100059,75,Female,Bachelors,Self-Employed,43645.72,21532.8,36,Business,Mortgage,4.0
111522,46,Female,Other,Unemployed,8000.0,1705.38,72,Debt Consolidation,Own,3.0
110250,40,Female,Masters,Self-Employed,115327.05,14432.77,48,Auto,Own,1.0
107761,55,Female,High School,Contract,36843.26,1936.54,36,Medical,Own,5.0
108186,31,Other,Bachelors,Business Owner,120530.26,59110.63,48,Auto,Mortgage,0.0
100505,38,Male,Masters,Contract,47250.12,5260.18,24,Education,Own,1.0
105971,41,Male,Bachelors,Salaried,65080.06,45637.76,48,Wedding,Own,4.0
109913,41,Male,High School,Business Owner,30902.03,2379.46,36,Home Improvement,Rent,2.0
100750,60,Female,High School,Salaried,53341.91,9191.23,60,Medical,Rent,2.0
102171,41,Female,Masters,Contract,94126.96,22228.07,60,Medical,Rent,0.0
108200,36,Female,Bachelors,Self-Employed,60471.54,12400.44,48,Home Improvement,Mortgage,2.0
112874,49,Female,High School,Salaried,41044.26,12597.63,48,Wedding,Own,3.0
112264,42,Female,High School,Salaried,29842.29,5701.11,12,Medical,Mortgage,1.0
105614,53,Female,Bachelors,Contract,43689.07,10303.85,60,Business,Own,5.0
100670,69,Male,Bachelors,Salaried,119781.64,30274.9,60,Debt Consolidation,Rent,5.0
110260,58,Male,Bachelors,Salaried,111924.67,23172.83,48,Education,Own,4.0
106027,43,Male,Bachelors,Salaried,46965.45,19889.66,48,Debt Consolidation,Rent,1.0
101150,38,Male,High School,Unemployed,17125.91,3246.68,36,Medical,Mortgage,3.0
108397,72,Female,Bachelors,Salaried,43338.18,27973.95,72,Other,Rent,3.0
106545,42,Male,High School,Self-Employed,71842.56,25970.3,48,Medical,Rent,
110488,73,Male,Bachelors,Business Owner,72951.62,27535.67,12,Debt Consolidation,Rent,1.0
100629,48,Male,Bachelors,Salaried,119630.3,46217.9,84,Medical,Mortgage,2.0
102299,45,Male,High School,Salaried,41889.63,10507.34,60,Medical,Rent,0.0
106723,60,Male,Bachelors,Self-Employed,118615.48,81496.9,60,Business,Rent,3.0
100741,75,Male,Doctorate,Self-Employed,,47861.78,36,Vacation,Own,2.0
107065,54,Male,Bachelors,Salaried,92115.77,33197.11,48,Vacation,Mortgage,5.0
100950,49,Female,Other,Self-Employed,57117.4,9126.09,24,Debt Consolidation,Mortgage,1.0
103603,60,Male,Bachelors,Salaried,61589.09,28144.94,36,Business,Mortgage,4.0
105444,42,Female,Doctorate,Salaried,91906.03,38635.95,24,Home Improvement,Rent,
112533,42,Female,Bachelors,Contract,46825.77,22119.66,12,Home Improvement,Own,3.0
113414,32,Male,Other,Salaried,23803.87,14384.88,36,Business,Own,1.0
108185,55,Male,High School,Business Owner,42757.41,2729.82,60,Debt Consolidation,Own,3.0
108028,54,Male,Bachelors,Salaried,59828.12,4613.63,36,Medical,Mortgage,1.0
100575,47,Female,High School,Self-Employed,49140.46,25840.0,72,Debt Consolidation,Rent,3.0
107546,32,Female,Bachelors,Salaried,98184.9,28199.95,60,Wedding,Mortgage,0.0
114475,50,Male,Bachelors,Salaried,45784.49,13415.25,48,Home Improvement,Mortgage,4.0
107723,48,Female,Bachelors,Salaried,67649.15,22366.01,36,Medical,Mortgage,1.0
106456,62,Male,Bachelors,Self-Employed,68875.11,20759.82,36,Auto,Own,2.0
106001,67,Female,High School,Salaried,47772.57,2733.28,24,Other,Mortgage,2.0
107056,56,Male,Masters,Self-Employed,112508.16,9928.38,24,Business,Rent,2.0
103353,66,Female,High School,Contract,47147.31,3914.36,72,Education,Rent,3.0
109099,46,Female,Masters,Contract,106660.21,38267.25,60,Debt Consolidation,Rent,1.0
101680,69,Male,High School,Salaried,40036.93,17919.0,36,Home Improvement,Rent,2.0
113459,50,Female,High School,Salaried,25913.19,18517.74,24,Wedding,Mortgage,0.0
105803,48,Male,Bachelors,Salaried,156480.28,44774.21,48,Home Improvement,Own,2.0
100515,60,Other,High School,Salaried,53101.71,6580.33,48,Wedding,Rent,1.0
105586,75,Female,Doctorate,Contract,117491.37,11599.66,48,Home Improvement,Rent,1.0
107923,45,Male,Doctorate,Salaried,91109.27,52541.61,48,Education,Rent,3.0
102821,43,Female,Bachelors,Salaried,94396.91,32759.88,36,Other,Own,2.0
111235,39,Female,Bachelors,Salaried,85675.24,46093.39,60,Debt Consolidation,Rent,1.0
103378,75,Male,Bachelors,Self-Employed,78395.44,34347.87,60,Home Improvement,Rent,1.0
109237,52,Male,Bachelors,Salaried,53682.2,28914.46,12,Other,Rent,1.0
110108,47,Male,Bachelors,Salaried,35250.15,6528.71,48,Debt Consolidation,Rent,1.0
103222,53,Male,High School,Self-Employed,51107.04,20582.2,48,Debt Consolidation,Mortgage,1.0
101127,63,Female,Bachelors,Salaried,29170.67,14261.52,36,Vacation,Mortgage,3.0
108175,73,Female,Masters,Contract,35982.2,14645.87,12,Debt Consolidation,Rent,1.0
107738,64,Male,Masters,Self-Employed,98617.32,8410.75,24,Other,Mortgage,2.0
100072,75,Female,Masters,Salaried,79610.79,15957.97,48,Debt Consolidation,Mortgage,1.0
102855,52,Male,Bachelors,Salaried,45044.4,14207.3,36,Vacation,Own,2.0
107828,60,Male,High School,Salaried,40270.63,31197.5,24,Debt Consolidation,Other,5.0
111411,59,Other,Masters,Contract,49014.31,6054.44,12,Debt Consolidation,Rent,4.0
110475,33,Female,Masters,Business Owner,126290.98,19493.38,48,Business,Mortgage,4.0
106527,34,Male,High School,Salaried,53725.72,31193.68,36,Debt Consolidation,Own,1.0
101064,46,Male,High School,Salaried,51454.45,12394.77,36,Debt Consolidation,Other,2.0
103596,66,Female,Bachelors,Contract,59264.5,6600.28,48,Auto,Rent,1.0
112916,49,Female,High School,Salaried,51939.19,9012.6,24,Business,Mortgage,0.0
113283,60,Male,Bachelors,Contract,50046.94,11192.04,48,Vacation,Mortgage,1.0
109516,62,Other,High School,Self-Employed,108025.6,29179.86,12,Auto,Own,6.0
113246,51,Male,High School,Contract,58531.21,44479.77,48,Wedding,Mortgage,3.0
113412,75,Female,Bachelors,Business Owner,66255.22,22611.08,60,Debt Consolidation,Own,3.0
104066,71,Male,Bachelors,Salaried,69945.89,7558.43,48,Auto,Mortgage,3.0
106249,61,Male,Masters,Contract,76457.48,22860.66,24,Home Improvement,Rent,2.0
107148,39,Female,Masters,Salaried,69254.48,8482.1,72,Auto,Own,1.0
101967,39,Female,High School,Salaried,49481.36,3100.57,84,Business,Own,0.0
101128,44,Female,High School,Salaried,50043.53,45403.41,36,Home Improvement,Own,3.0
109028,46,Male,Bachelors,Self-Employed,75892.08,11195.35,72,Business,Other,3.0
106315,60,Male,Masters,Salaried,94961.44,39266.76,72,Business,Mortgage,2.0
103366,39,Male,Bachelors,Self-Employed,58702.35,8661.34,24,Education,Own,1.0
105334,40,Female,Bachelors,Self-Employed,120094.41,99331.75,84,Education,Mortgage,2.0
108669,61,Female,Doctorate,Salaried,173713.19,53336.98,48,Home Improvement,Mortgage,3.0
114609,47,Female,Masters,Salaried,114355.36,24960.08,48,Debt Consolidation,Rent,3.0
103668,55,Male,Bachelors,Salaried,45331.53,2420.79,60,Education,Other,2.0
107455,75,Female,Masters,Self-Employed,103442.74,28274.42,72,Medical,Mortgage,2.0
108672,60,Female,High School,Salaried,63730.06,14627.29,24,Business,Mortgage,2.0
110240,53,Male,Masters,Salaried,115501.64,30906.63,36,Debt Consolidation,Rent,2.0
108894,63,Female,Bachelors,Self-Employed,56242.38,6673.16,60,Business,Rent,0.0
107551,75,Female,Bachelors,Salaried,62770.6,39629.27,48,Debt Consolidation,Mortgage,3.0
109720,41,Male,Bachelors,Salaried,93039.62,28434.96,60,Home Improvement,Own,2.0
113613,33,Male,Bachelors,Salaried,56743.03,42873.27,48,Debt Consolidation,Mortgage,1.0
108795,53,Male,Bachelors,Business Owner,84795.55,36237.73,72,Wedding,Mortgage,3.0
104043,56,Male,High School,Salaried,50694.51,6360.16,36,Home Improvement,Mortgage,1.0
110261,75,Female,High School,Self-Employed,28920.25,11886.27,24,Other,Own,2.0
112017,41,Female,Bachelors,Business Owner,64905.88,52978.35,48,Business,Mortgage,0.0
104498,42,Female,Masters,Unemployed,37924.4,8896.94,36,Debt Consolidation,Own,2.0
106920,50,Male,High School,Self-Employed,58152.95,19199.0,12,Debt Consolidation,Mortgage,2.0
102050,75,Male,High School,Salaried,40111.02,12942.44,36,Debt Consolidation,Other,2.0
114653,49,Female,High School,Salaried,48385.11,30382.78,48,Medical,Mortgage,1.0
107919,60,Male,Masters,Salaried,113404.99,31344.02,84,Debt Consolidation,Rent,1.0
105650,44,Female,Masters,Salaried,70388.8,3436.03,48,Debt Consolidation,Mortgage,2.0
106202,72,Male,Bachelors,Self-Employed,70552.81,14727.51,60,Medical,Mortgage,2.0
104754,62,Male,High School,Salaried,40867.26,12555.22,36,Business,Rent,4.0
101899,57,Female,Bachelors,Salaried,132562.64,70755.74,36,Education,Mortgage,5.0
114922,59,Male,Bachelors,Salaried,56379.92,26062.41,36,Education,Own,4.0
101448,54,Male,Bachelors,Self-Employed,92285.68,25014.69,60,Home Improvement,Other,6.0
109035,36,Female,Bachelors,Salaried,60876.2,6586.8,84,Medical,Mortgage,0.0
105696,60,Female,Bachelors,Salaried,107617.32,42991.2,36,Vacation,Mortgage,4.0
112554,49,Male,Masters,Salaried,98197.66,7936.32,12,Education,Rent,2.0
107204,60,Male,Masters,Salaried,80861.49,8375.48,72,Business,Rent,3.0
107712,63,Male,Bachelors,Contract,74440.37,27445.04,36,Business,Rent,4.0
101476,28,Male,Masters,Salaried,79932.39,49899.61,84,Wedding,Other,1.0
102102,55,Female,High School,Self-Employed,,7712.91,60,Home Improvement,Own,1.0
103809,25,Male,Bachelors,Contract,60036.87,26252.61,84,Education,Rent,0.0
112789,61,Female,Doctorate,Unemployed,101448.28,20219.13,24,Auto,Mortgage,2.0
108402,59,Male,Bachelors,Unemployed,16355.51,789.18,36,Business,Mortgage,4.0
103995,45,Male,Bachelors,Salaried,50579.4,17639.67,36,Auto,Own,6.0
112372,41,Female,Bachelors,Salaried,102991.66,39486.51,48,Debt Consolidation,Other,1.0
111481,71,Male,Bachelors,Contract,78686.03,19177.96,48,Business,Rent,4.0
105635,53,Female,Bachelors,Salaried,81054.77,17198.61,72,Debt Consolidation,Mortgage,5.0
109297,38,Female,Bachelors,Self-Employed,70100.34,7060.66,36,Medical,Own,1.0
113514,72,Female,High School,Self-Employed,63995.29,16909.18,84,Home Improvement,Own,3.0
107200,56,Male,Masters,Salaried,104928.56,26827.14,60,Home Improvement,Mortgage,1.0
105440,57,Male,High School,Salaried,63180.89,23020.54,84,Home Improvement,Rent,2.0
111985,40,Male,Doctorate,Unemployed,20100.32,6662.58,24,Debt Consolidation,Rent,4.0
113210,43,Male,Bachelors,Contract,41346.59,9227.17,12,Home Improvement,Rent,0.0
100576,75,Female,Bachelors,Salaried,49676.99,15600.81,36,Debt Consolidation,Mortgage,2.0
103657,56,Female,High School,Self-Employed,78853.2,18829.45,36,Debt Consolidation,Own,
111044,63,Female,High School,Salaried,34805.91,21318.31,84,Education,Own,2.0
107087,33,Female,High School,Business Owner,52749.64,13870.24,12,Debt Consolidation,Other,2.0
110732,47,Female,High School,Salaried,36437.6,6414.3,60,Home Improvement,Mortgage,0.0
106050,75,Female,Masters,Salaried,106072.17,45895.81,84,Business,Rent,2.0
102748,61,Male,Other,Salaried,43915.58,9807.55,36,Business,Own,1.0
113115,54,Male,Masters,Salaried,48394.59,17360.46,60,Debt Consolidation,Rent,2.0
114046,56,Female,Doctorate,Salaried,187624.22,112441.76,60,Home Improvement,Own,1.0
113638,47,Female,Bachelors,Business Owner,138944.74,62754.47,12,Wedding,Rent,2.0
105106,56,Male,Bachelors,Contract,56646.16,28154.95,12,Wedding,Rent,6.0
112024,54,Female,High School,Business Owner,97523.21,46648.49,36,Medical,Mortgage,3.0
100499,64,Male,Masters,Salaried,94227.24,57734.26,36,Auto,Own,4.0
109010,51,Female,Masters,Contract,81778.3,50387.75,12,Vacation,Own,0.0
101441,75,Male,Bachelors,Salaried,37870.21,5660.45,60,Home Improvement,Rent,4.0
104604,48,Female,Doctorate,Business Owner,140074.95,65650.75,84,Debt Consolidation,Rent,1.0
107373,28,Female,High School,Salaried,19077.27,13283.66,60,Home Improvement,Own,0.0
110099,70,Female,Masters,Contract,49750.76,18041.33,48,Education,Mortgage,4.0
112328,59,Male,High School,Salaried,66263.19,23298.97,48,Other,Own,3.0
104597,56,Male,Bachelors,Salaried,54315.94,18270.52,48,Debt Consolidation,Mortgage,3.0
111095,67,Male,Bachelors,Salaried,64704.95,23522.73,48,Education,Own,0.0
101337,59,Female,Masters,Salaried,109820.75,26191.63,12,Other,Rent,4.0
107356,40,Male,Bachelors,Self-Employed,81905.7,24558.95,48,Debt Consolidation,Own,2.0
101519,37,Female,Doctorate,Salaried,84946.82,66162.18,60,Business,Own,1.0
110599,40,Female,Bachelors,Salaried,55964.04,27318.27,60,Business,Rent,1.0
112210,58,Male,Bachelors,Contract,63948.53,23532.25,72,Debt Consolidation,Mortgage,1.0
107815,47,Male,High School,Self-Employed,25054.85,2793.06,60,Debt Consolidation,Own,2.0
111847,40,Male,Bachelors,Self-Employed,91572.17,30980.43,36,Debt Consolidation,Own,0.0
108492,63,Female,High School,Salaried,39406.92,8312.74,24,Education,Mortgage,5.0
101650,50,Female,Masters,Self-Employed,113416.66,35141.52,36,Other,Own,2.0
105412,57,Female,Bachelors,Business Owner,55404.38,22636.51,48,Other,Mortgage,2.0
106203,62,Male,Masters,Salaried,177179.08,86380.73,48,Business,Mortgage,2.0
100466,53,Male,High School,Self-Employed,39153.68,8977.97,36,Auto,Mortgage,2.0
108782,75,Male,Bachelors,Salaried,96591.51,55743.92,24,Auto,Mortgage,4.0
100322,53,Female,Bachelors,Salaried,43939.77,4597.56,24,Wedding,Mortgage,0.0
104904,67,Male,Bachelors,Self-Employed,75983.48,20440.39,84,Other,Rent,5.0
108340,65,Male,Bachelors,Salaried,67716.31,21329.73,24,Other,Own,0.0
108736,67,Male,High School,Salaried,91542.37,65472.47,60,Home Improvement,Mortgage,6.0
111405,57,Male,Bachelors,Self-Employed,69506.57,9138.19,12,Debt Consolidation,Mortgage,2.0
109600,44,Male,Masters,Salaried,114009.07,43535.68,48,Debt Consolidation,Rent,1.0
108081,58,Male,Bachelors,Business Owner,112360.33,7974.16,48,Education,Own,2.0
113975,53,Male,Bachelors,Salaried,59336.15,49457.87,12,Home Improvement,Rent,1.0
106214,50,Female,Masters,Self-Employed,118671.76,65283.38,72,Business,Rent,5.0
112976,50,Male,Bachelors,Salaried,63022.67,39439.38,84,Home Improvement,Own,1.0
104318,47,Male,Other,Unemployed,8000.0,3658.9,84,Home Improvement,Rent,1.0
114180,66,Female,High School,Salaried,38626.97,3651.49,36,Home Improvement,Rent,5.0
112549,63,Male,Bachelors,Self-Employed,113519.63,60136.37,60,Business,Rent,1.0
101368,25,Male,Masters,Business Owner,157906.4,19761.27,48,Medical,Own,1.0
112122,35,Other,Bachelors,Business Owner,46195.18,32008.96,36,Debt Consolidation,Rent,1.0
101778,53,Female,Bachelors,Business Owner,81273.09,24249.63,36,Auto,Mortgage,2.0
101003,45,Male,Bachelors,Salaried,61384.69,27754.52,72,Other,Mortgage,1.0
114020,65,Male,High School,Salaried,33081.6,7651.86,24,Education,Mortgage,1.0
113181,66,Female,High School,Salaried,40694.44,11128.64,24,Debt Consolidation,Own,1.0
110088,36,Female,Bachelors,Salaried,53681.78,39803.6,36,Vacation,Rent,0.0
109013,75,Male,Masters,Business Owner,192354.85,85566.39,48,Other,Rent,2.0
105393,75,Male,High School,Salaried,36358.64,12244.67,24,Debt Consolidation,Mortgage,4.0
103773,56,Male,Masters,Business Owner,99550.92,42655.59,36,Home Improvement,Rent,1.0
108496,75,Male,High School,Salaried,31640.09,11269.57,12,Other,Own,2.0
112895,75,Male,High School,Unemployed,14539.02,7787.61,48,Auto,Mortgage,4.0
107384,45,Male,High School,Self-Employed,29483.41,10025.9,12,Debt Consolidation,Own,2.0
112741,69,Male,Other,Salaried,55703.18,32395.8,36,Other,Mortgage,4.0
111870,72,Male,Other,Self-Employed,,41690.22,36,Auto,Own,2.0
107232,55,Female,High School,Salaried,62439.41,13744.93,24,Debt Consolidation,Rent,2.0
102902,49,Female,Bachelors,Contract,58014.36,29858.47,24,Debt Consolidation,Mortgage,3.0
102420,47,Female,Bachelors,Salaried,52991.23,35878.28,84,Debt Consolidation,Rent,2.0
106680,58,Female,Bachelors,Salaried,40499.98,14510.38,36,Business,Mortgage,4.0
112786,55,Male,High School,Salaried,37704.4,14154.11,24,Auto,Mortgage,1.0
108041,36,Male,Doctorate,Business Owner,137429.52,74539.01,84,Business,Rent,1.0
109767,63,Female,High School,Salaried,46121.75,32637.47,72,Vacation,Mortgage,6.0
102275,51,Female,Bachelors,Self-Employed,58206.45,23093.4,60,Vacation,Rent,1.0
103708,55,Female,Masters,Business Owner,113798.6,84021.7,48,Medical,Own,1.0
114671,68,Male,Bachelors,Self-Employed,63725.83,24414.25,48,Business,Mortgage,0.0
113601,52,Male,High School,Salaried,50982.53,21275.34,48,Debt Consolidation,Rent,0.0
102082,75,Male,Bachelors,Salaried,76295.2,19852.51,36,Home Improvement,Mortgage,2.0
109596,44,Female,Bachelors,Self-Employed,,5709.49,72,Education,Mortgage,0.0
100498,64,Other,Masters,Self-Employed,105426.54,85016.21,36,Business,Rent,4.0
110391,52,Female,Bachelors,Salaried,61490.23,17956.64,36,Medical,Mortgage,3.0
114172,44,Male,Bachelors,Business Owner,122130.71,51780.75,72,Other,Rent,2.0
110792,74,Male,Bachelors,Self-Employed,83434.07,41090.14,24,Debt Consolidation,Rent,2.0
108534,52,Male,Bachelors,Salaried,163122.88,30861.08,48,Auto,Rent,2.0
113607,64,Female,High School,Salaried,26741.32,9251.97,48,Business,Other,4.0
114418,62,Male,Masters,Salaried,117212.73,12789.39,60,Education,Rent,2.0
103448,75,Female,High School,Unemployed,9387.61,1399.09,60,Debt Consolidation,Mortgage,0.0
105050,33,Female,High School,Salaried,35178.1,19525.06,12,Home Improvement,Mortgage,0.0
111676,32,Male,High School,Self-Employed,19137.02,7450.74,24,Auto,Own,0.0
112535,47,Male,Masters,Contract,105540.37,41180.97,48,Medical,Mortgage,1.0
104204,43,Female,Bachelors,Self-Employed,47562.9,3424.01,48,Medical,Rent,1.0
111267,46,Male,Bachelors,Contract,32842.41,19317.32,84,Debt Consolidation,Rent,0.0
101035,59,Female,Bachelors,Salaried,84664.04,48566.2,48,Debt Consolidation,Rent,1.0
111062,69,Female,Bachelors,Salaried,58319.62,16304.63,36,Vacation,Own,1.0
111581,51,Female,High School,Business Owner,46707.05,17568.39,84,Home Improvement,Rent,1.0
103763,28,Male,Bachelors,Salaried,38813.75,9525.56,36,Debt Consolidation,Mortgage,0.0
108068,75,Female,Doctorate,Self-Employed,247703.61,60712.78,36,Debt Consolidation,Rent,1.0
108232,27,Male,High School,Contract,26775.21,7253.22,72,Debt Consolidation,Rent,0.0
104465,33,Male,High School,Business Owner,81166.67,5960.43,24,Auto,Rent,0.0
114286,63,Male,High School,Salaried,90595.74,53494.2,60,Other,Rent,1.0
107218,49,Female,Masters,Salaried,216469.55,57040.7,48,Debt Consolidation,Own,2.0
111544,49,Male,High School,Salaried,20021.24,9988.67,12,Auto,Own,1.0
109207,47,Female,Masters,Self-Employed,70470.48,32517.99,60,Debt Consolidation,Rent,1.0
101145,50,Female,High School,Salaried,57488.69,42120.09,24,Debt Consolidation,Mortgage,5.0
109750,52,Female,High School,Salaried,42045.83,21790.37,36,Debt Consolidation,Mortgage,1.0
112425,39,Male,Masters,Salaried,56640.2,22109.57,36,Business,Rent,1.0
111890,49,Male,Bachelors,Salaried,62349.58,30153.8,24,Wedding,Rent,2.0
107795,44,Male,Bachelors,Salaried,119827.19,37065.44,36,Debt Consolidation,Own,1.0
104520,45,Female,Bachelors,Salaried,94577.97,22549.71,24,Home Improvement,Mortgage,1.0
108090,36,Male,High School,Salaried,22491.45,10867.83,60,Education,Own,1.0
104977,37,Female,Masters,Business Owner,240773.02,14795.47,48,Auto,Mortgage,2.0
